what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1484500405941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1484500406858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1484500416318
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1484500419092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484500419396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484500422540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484500428057
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484500428159
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1484500428491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484500430505
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1484500430538
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484500430540
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1484500431268
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484500433483
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1484500435406
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1484500440536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1484500446588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484500453312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484500594014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484500598082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484500802533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484500810866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484500830566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484500856371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484500857327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484500872241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484500904486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484500906440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484500907730
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484500907952
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1484500908375
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1484500908375
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1484500908375
stopped,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1484500909377
stopped,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1484500909378
stopped,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1484500909378
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1484500909378
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1484500909378
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1484500909378
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1484500909403
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1484500909403
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1484500909403
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1484500909419
